case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
14,AZ,Yes (All),1971,Somewhat approve,(Dont know),Not very,Not at all,Strongly disapprove,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat disapprove,Somewhat disapprove,(Neither),Worst is yet to come,Reacting appropriately,(Mixed),"No, does not describe","Yes, describes",(Dont know),"No, does not describe",Not very,Not very,Somewhat,Somewhat,Not very,Favor,Oppose,Too little,Not much,No difference,No silver lining,No,Not very,No,Democrat Hillary Clinton,"(Vocational, technical school)",Liberal,Somewhat liberal, , ,Democrat,Not so strong, , ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,(Dont know_refused),Urban,"$50,000 to under $75,000",AZ,Male,46-54,49,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Close,Somewhat Liberal,Somewhat Liberal,Somewhat Democrat,Lean Democarat,1.272006314,Cell
15,MI,Yes (All),1966,(Dont know),(Dont know),Somewhat,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,(Dont know),Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,(Dont know),(Dont know),Just about right,Somewhat,Less,No silver lining,No,Somewhat,Yes,(Wont say _ Refused),(2-year degree_community college degree),Moderate, , ,(Dont know),(Dont know), , ,(Dont know),"No, no home telephone", , ,No,White,(Dont know_refused),Rural,"Under $30,000",MI,Male,46-54,54,Independent + other,"MODERATE,",no,Midwest,Trump 10%+,Moderate,Moderate,Independent,Independent,1.241733437,Cell
16,VA,Yes (All),1975,Somewhat disapprove,Disapprove,Very,Not very,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Strongly disapprove,Strongly disapprove,Strongly disapprove,Wrong direction,Worst is over,Overreacting,Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Somewhat,Very,Oppose,Favor,Too little,A great deal,Less,Learn valuable lessons / Chance for reflection,No,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Liberal,Very liberal, , ,Democrat,Not so strong, , ,"No, no home telephone", , ,No,"African-American, black",Yes,Urban,"$30,000 to under $50,000",VA,Male,30-45,45,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,South,Clinton 10%+,Very Liberal,Very Liberal,Somewhat Democrat,Lean Democarat,1.094075052,Cell
17,FL,Yes (All),1965,Somewhat approve,Disapprove,Somewhat,Not at all,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","Yes, describes","No, does not describe",Very,Not very,Somewhat,Not at all,Somewhat,Favor,Favor,Too little,A great deal,No difference,Giving the environment a break / Less pollution,No,Very,No,Republican Donald Trump,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$75,000 to under $100,000",FL,Male,55-64,55,"Republican,","MODERATE,",no,South,Close,Moderate,Moderate,Strong Republican,Strong Republican,.750574225,Cell
18,KS,Yes (All),1971,Somewhat approve,Disapprove,Not very,Not very,(Dont know),Somewhat approve,(Dont know),Somewhat approve,(Dont know),(Dont know),(Dont know),(Dont know),(Dont know),Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not very,Somewhat,Somewhat,Somewhat,Oppose,(Dont know),(Dont know),Somewhat,More,Spending more time with family,No,Not at all,No,Republican Donald Trump,(Graduate degree),Moderate, , ,Lean conservative,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",KS,Male,46-54,49,Independent + other,CONSRV (very + somewhat conservative),yes,Midwest,Close,Lean Conservative,Somewhat Conservative,Independent,Independent,1.127754282,Cell
19,NY,Yes (All),1982,Somewhat approve,Approve,Somewhat,Not very,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Very,Very,Very,Favor,Favor,Just about right,Somewhat,No difference,Not sure / Refused,No,Somewhat,No,Republican Donald Trump,(Graduate degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Urban,"$100,000 or more",NY,Male,30-45,38,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.939168441,Cell
20,PA,Yes (All),1967,Strongly approve,Approve,Very,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Very,Not very,Somewhat,Favor,Favor,Just about right,Somewhat,More,Economic opportunities / Still have a job / Saving money,No,Somewhat,Yes,Republican Donald Trump,(2-year degree_community college degree),Moderate, , ,Lean conservative,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Rural,"$100,000 or more",PA,Male,46-54,53,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Trump 10%+,Lean Conservative,Somewhat Conservative,Strong Republican,Strong Republican,1.241733437,Cell
21,CA,Yes (All),1985,Strongly approve,Approve,Very,Very,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Very,Very,Somewhat,Favor,Favor,Too much,A great deal,Less,Not sure / Refused,No,Somewhat,No,Republican Donald Trump,(Graduate degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Urban,"$100,000 or more",CA,Male,30-45,35,"Republican,",CONSRV (very + somewhat conservative),no,West,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.939168441,Cell
22,IA,Yes (All),1961,Somewhat approve,Disapprove,Very,Somewhat,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Strongly approve,Somewhat disapprove,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"No, does not describe","Yes, describes","Yes, describes","No, does not describe",Not at all,Not very,Somewhat,Not at all,Not very,(Dont know),Favor,Too little,A great deal,More,Will be stronger in the future / Pandemic will be contained,No,Somewhat,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Neither, , ,Lean Republican,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Urban,"$50,000 to under $75,000",IA,Male,55-64,59,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Clinton 10%+,Somewhat Conservative,Somewhat Conservative,Lean Republican,Lean Republican,.760626959,Cell
23,IL,Yes (All),1966,Strongly disapprove,Disapprove,Somewhat,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Somewhat,Somewhat,Favor,Favor,Too much,Somewhat,Less,No silver lining,No,Somewhat,No,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,No,Suburban,DO NOT READ -- (Refused_Dont know),IL,Male,46-54,54,Independent + other,"MODERATE,",no,Midwest,Close,Moderate,Moderate,Independent,Independent,1.103501501,Cell
24,CA,Yes (All),1980,Somewhat approve,Approve,Very,Very,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,A great deal,More,No silver lining,No,Somewhat,No,Democrat Hillary Clinton,(Graduate degree),Moderate, , ,Lean conservative,Neither, , ,Dont lean either way,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Urban,"$100,000 or more",CA,Male,30-45,40,Independent + other,CONSRV (very + somewhat conservative),no,West,Clinton 10%+,Lean Conservative,Somewhat Conservative,Independent,Independent,.939168441,Cell
25,NY,Yes (All),1954,Somewhat disapprove,Disapprove,Very,Somewhat,Somewhat disapprove,Somewhat disapprove,(Dont know),Somewhat approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,(Dont know),Nothing could have prevented it from spreading the way it has,"Yes, describes",(Dont know),(Dont know),(Dont know),Very,Very,Not very,Very,Very,Favor,Favor,Too little,A great deal,(Mixed),No silver lining,Yes,Somewhat,Yes,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Urban,"$30,000 to under $50,000",NY,Male,65+,66,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Clinton 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.778954619,Cell
27,MI,Yes (All),1949,Strongly disapprove,Disapprove,Very,Very,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Somewhat approve,Somewhat disapprove,Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,Too little,A great deal,Less,No silver lining,No,Very,Yes,Democrat Hillary Clinton,"(Some college, no degree)",Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Suburban,"$75,000 to under $100,000",MI,Male,65+,71,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,Midwest,Clinton 10%+,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,.76865966,Cell
28,MD,Yes (All),1971,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Somewhat,Very,Somewhat,Favor,Oppose,Just about right,Somewhat,More,Spending more time with family,No,Somewhat,No,Republican Donald Trump,"(Some college, no degree)",Moderate, , ,Dont lean either way,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,Yes,Suburban,"$30,000 to under $50,000",MD,Male,46-54,49,"Republican,","MODERATE,",yes,South,Clinton 10%+,Moderate,Moderate,Somewhat Republican,Lean Republican,1.255194998,Cell
29,IL,Yes (All),1971,Somewhat approve,Approve,Very,Not very,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,(Dont know),"Yes, describes","Yes, describes",(Dont know),"Yes, describes",Very,Not very,Not very,Somewhat,Somewhat,(Dont know),Favor,Just about right,A great deal,More,Preparation for the future / Better prepared for future outbreaks,No,Not very,No,Republican Donald Trump,(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Suburban,"$100,000 or more",IL,Male,46-54,49,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Clinton 10%+,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.127754282,Cell
30,WI,Yes (All),1968,Somewhat disapprove,Disapprove,Somewhat,Not very,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Somewhat disapprove,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"No, does not describe","No, does not describe","No, does not describe",(Dont know),Very,Somewhat,Not at all,Not very,Not very,Favor,Favor,Too much,Somewhat,No difference,No silver lining,No,Very,No,Republican Donald Trump,"(Vocational, technical school)",Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Rural,"$30,000 to under $50,000",WI,Male,46-54,52,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.241733437,Cell
31,CA,Yes (All),1983,Strongly approve,Approve,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Just about right,Not much,No difference,Will be stronger in the future / Pandemic will be contained,(Dont know),Somewhat,No,Republican Donald Trump,(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Urban,"$75,000 to under $100,000",CA,Male,30-45,37,"Republican,",CONSRV (very + somewhat conservative),yes,West,Clinton 10%+,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.939168441,Cell
32,TX,Yes (All),1960,Somewhat approve,Disapprove,Somewhat,Not very,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,(Neither),Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes",(Dont know),Very,Not very,Not very,Not very,Somewhat,(Dont know),Favor,(Dont know),A great deal,Less,No silver lining,No,Not at all,No,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Somewhat conservative, ,Neither, , ,Lean Republican,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",TX,Male,55-64,60,"Republican,",CONSRV (very + somewhat conservative),no,South,Clinton 10%+,Somewhat Conservative,Somewhat Conservative,Lean Republican,Lean Republican,.853752362,Cell
33,CA,Yes (All),1964,Somewhat approve,Disapprove,Somewhat,Somewhat,Somewhat approve,Somewhat approve,Strongly approve,Somewhat disapprove,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","No, does not describe","Yes, describes","Yes, describes",Somewhat,Not very,Not very,Not very,Somewhat,Favor,Favor,Just about right,Somewhat,More,Spending more time with family,No,Somewhat,No,Republican Donald Trump,(Graduate degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Urban,"$30,000 to under $50,000",CA,Male,55-64,56,"Republican,",CONSRV (very + somewhat conservative),yes,West,Close,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.777344035,Cell
34,CA,Yes (All),1961,Strongly approve,Disapprove,Very,Very,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat disapprove,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not very,Somewhat,Somewhat,Somewhat,Favor,Favor,(Dont know),A great deal,Less,Spending more time with family,No,Very,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,Asian,No,Rural,"$100,000 or more",CA,Male,55-64,59,"Republican,",CONSRV (very + somewhat conservative),no,West,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.089436461,Cell
35,TX,Yes (All),1956,Strongly disapprove,Disapprove,Very,Very,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Very,Very,Very,Favor,Favor,Too little,A great deal,Less,Economic opportunities / Still have a job / Saving money,(Dont know),Very,Yes,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,Yes,Small town,"Under $30,000",TX,Male,55-64,64,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.853752362,Cell
36,FL,Yes (All),1971,Strongly approve,Approve,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Not at all,Not at all,Not at all,(Dont know),Favor,Just about right,Somewhat,No difference,Religious value / Increase in faith,No,Somewhat,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Suburban,"$50,000 to under $75,000",FL,Male,46-54,49,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.255194998,Cell
37,MN,Yes (All),1967,Strongly approve,Disapprove,Very,Not very,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Not very,Not very,Not very,Somewhat,Favor,Favor,(Dont know),Somewhat,(Mixed),Spending more time with family,No,Not very,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",MN,Male,46-54,53,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Close,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.103501501,Cell
