"","ID","timezone","class_attend","class_time","studenthours","grp_prj_opt","grp_prj_fin","covid_examples"
"18",18,"Pacific US",4,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",4,3,"Sometimes - just not all the time"
"19",19,"South Korea (+13 from EST)",1,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",4,3,"Sometimes - just not all the time"
"20",20,"Eastern US",4,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",4,5,"Yes - for sure"
"21",21,"Eastern US",4,"Section 01 Time: 1:20-2:35PM Eastern","Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",3,4,"No - hard pass"
"22",22,"Pacific US",5,"Either Section 01 or 02","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,3,"Sometimes - just not all the time"
"23",23,"Eastern US",5,"Either Section 01 or 02","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",5,4,"Yes - for sure"
"24",24,"Eastern US",5,"Section 02 Time: 2:45-4:00PM Eastern","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi",5,1,"Yes - for sure"
"25",25,"Singapore: GMT+8",1,"Neither","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,3,"Yes - for sure"
"26",26,"Pacific US",4,"Section 01 Time: 1:20-2:35PM Eastern","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi",5,2,"Sometimes - just not all the time"
"27",27,"Eastern US",5,"Either Section 01 or 02","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,2,"Sometimes - just not all the time"
"28",28,"Eastern US",4,"Either Section 01 or 02","Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi",5,3,"Sometimes - just not all the time"
"29",29,"Pacific US",3,"Either Section 01 or 02","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",4,4,"Yes - for sure"
"30",30,"Eastern US",5,"Either Section 01 or 02","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi",3,3,"Sometimes - just not all the time"
"31",31,"Pacific US",5,"Either Section 01 or 02","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,1,"No - hard pass"
"32",32,"Eastern US",4,"Either Section 01 or 02","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",NA,NA,"Sometimes - just not all the time"
"33",33,"Eastern US",4,"Section 01 Time: 1:20-2:35PM Eastern","Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",5,4,"Sometimes - just not all the time"
"34",34,"9 hours ahead of Eastern US",2,"Neither","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi",4,2,"Very sparingly"
"35",35,"Mountain US",5,"Either Section 01 or 02","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",4,4,"Sometimes - just not all the time"
"36",36,"Eastern US",4,"Either Section 01 or 02","Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,2,"Please don't. I think this would be really hard for me and I'd really appreciate if we didn't use these examples in class."
"37",37,"Eastern US",4,"Section 02 Time: 2:45-4:00PM Eastern","Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",4,3,"Yes - for sure"
"38",38,"China Standard Time",1,"Neither","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi",2,4,"Yes - for sure"
"39",39,"China Standard Time",1,"Neither","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi",4,2,"Yes - for sure"
"40",40,"Eastern US",5,"Either Section 01 or 02","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",4,4,"Yes - for sure"
"41",41,"China",2,"Neither","Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,3,"Yes - for sure"
